TAP_service,table_name,description
VizieR,B/avo.rad/catalog,"MERLIN+VLA HFF/HDF(N) catalogue ( Muxlow T.W.B, Richards A.M.S, Garrington S.T., Wilkinson P.N. Anderson B.A., Richards E.A., Axon D.J., Partridge R.B., Kellermann K.I., Fomalont E.B. Muxlow T.W.B, et al. MNRAS (in press))"
VizieR,B/polarbase/polarbase,"Polarbase database (IRAP) ( Petit P., Paletou F., Mathias P., Glorian JM., Amato A.)"
VizieR,I/313/lqrf,"J2000 equatorial coordinates catalog ( Andrei A.H., Souchay J., Zacharias N., Smart R.L., Vieira Martins R., da Silva Neto D.N., Camargo J.I.B., Assafin M., Barache C., Bouquillon S., Penna J.L., Taris, F.)"
VizieR,I/325/icrf-u2,"Results from UCAC2-type reductions of ICRF optical counterparts (sample in table 4 of paper) ( Zacharias M.I., Zacharias N.)"
VizieR,I/325/icrf-u4,"Results from UCAC4-type reductions of ICRF optical counterparts (sample in table 5 of paper) ( Zacharias M.I., Zacharias N.)"
VizieR,I/355/paramp,1D astrophysical parameters produced by the Apsis processing chain developed in Gaia DPAC CU8 (1590932717 sources) (astrophysical_parameters) ( Gaia collaboration)
VizieR,II/211/spectro,"The spectroscopic sample (Table A1 of paper II) ( Glazebrook K., Peacock J.A., Collins C.A., Miller L.)"
VizieR,II/223/fbs2,The second part of the First Byurakan Survey ( Abrahamian et al.)
VizieR,II/290/finalcat,"SWIRE photometric redshift catalogue ( Rowan-Robinson M., Babbedge T., Oliver S., Trichas M., Berta S., Lonsdale C., Smith G., Shupe D., Surace J., Arnouts S., Ilbert O., Fevre O.L., Afonso-Luis A., Perez-Fournon I., Hatziminaoglou E., Polletta M., Farrah D., Vaccari M.)"
VizieR,II/326/zcatrev,"Revised SWIRE photometric redshift catalogues ( Rowan-Robinson M., Gonzalez-Solares E., Vaccari M., Marchetti L.)"
VizieR,II/333/master,"SN candidates (Version April, 20 2018) ( Sako M., Bassett B., Becker A.C., et al.)"
VizieR,II/333/snlist,"Confirmed SDSS-II Supernovae (Version 21-Oct-2014) ( Sako M., Bassett B., Becker A.C., et al.)"
