TAP_service,table_name,objects,description
VizieR,V/164/dr5,400789,"LAMOST DR5 catalog (04/07/2019 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/156/dr7slrs,301985,"LAMOST LRS A, F, G and K Star Catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,III/283/ravedr6,269792,"RAVE DR6 master file and classification and observation diagnostic data (ravedr6.dr6_sparv, ravedr6.dr6_classification and ravedr6.dr6_obsdata) ( Steinmetz M., Matijevic G., Enke H., et al.)"
VizieR,VII/250/parent,219392,"Details of source observations ( Colless M., Dalton G., Maddox S., et al.)"
VizieR,J/MNRAS/474/4151/wigglez,177649,"The WiggleZ catalogue ( Drinkwater M.J., Byrne Z.J., Blake C., et al.)"
VizieR,V/149/dr2,161237,"LAMOST DR2 catalog (30/06/2016 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,III/284/allvis,95969,"Time series radial velocities (allVisit; ASCAP version l33, release 12) ( Jonsson H., Holtzman J.A., Allende Prieto C., et al.)"
VizieR,VII/250/2dfgrs,92891,"Best observations of 2dFGRS ( Colless M., Dalton G., Maddox S., et al.)"
VizieR,III/249/catalog,87491,"Stellar radial velocities bibliographic catalogue, 2012 version ( Malaroda S., Levato H., Galliani S.)"
VizieR,J/MNRAS/474/3875/gamadr3,50743,"GAMA-DR3 spectrum catalog ( Baldry I.K., Liske J., Brown M.J.I., et al.)"
VizieR,J/A+A/562/A23/spectro,41649,"VIPERS spectroscopic catalog in the CFHTLS W1 and W4 fields ( Garilli B., Guzzo L., Scodeggio M., et al.)"
VizieR,V/156/dr7aslrs,35946,"LAMOST LRS A Star Catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/ApJ/890/7/table2,30863,"Density field measurements ( Chartab N., Mobasher B., Darvish B., Finkelstein S., Guo Y., Kodra D., Lee K.-S., Newman J.A., Pacifici C., Papovich C., Sattari Z., Shahidi A., Dickinson M.E., Faber S.M., Ferguson H.C., Giavalisco M., Jafariyazani M.)"
VizieR,J/MNRAS/452/2087/tiling,28681,"Science targets and information for tiling and spectroscopic observation (InputCatA V16) ( Liske J., Baldry I.K., Driver S.P., et al.)"
VizieR,J/AN/327/365/grGal,27802,"Catalogue of the 2dF GRS galaxies in the groups ( Tago E., Einasto J., Saar E., Einasto M., Suhhonenko I., Joeveer M., Vennik J., Heinamaki P., Tucker D.L.)"
HEASARC,sdssquasar,27787,Sloan Digital Sky Survey Quasar Catalog (Twelfth Data Release: D
