TAP_service,table_name,description
VizieR,VII/269/dr9qsup,"Supplemental list ( Paris I., Petitjean P., Aubourg E., et al.)"
VizieR,J/MNRAS/474/4151/wigglez,"The WiggleZ catalogue ( Drinkwater M.J., Byrne Z.J., Blake C., et al.)"
VizieR,J/MNRAS/457/110/catalog,"Catalog ( Menzel M.-L., Merloni A., Georgakakis A., Salvato M., Aubourg E., Brandt W.N., Brusa M., Buchner J., Dwelly T., Nandra K., Paris I., Petitjean P., Schwope A.)"
VizieR,VII/269/dr9q,"Main DR9 Quasar catalog (corrected version - 10-Feb-2016) ( Paris I., Petitjean P., Aubourg E., et al.)"
VizieR,J/MNRAS/490/613/table2,"Spectroscopic redshift catalogue ( Sluse D., Rusu C.E., Fassnacht C.D., et al.)"
VizieR,J/A+A/592/A121/spallelg,"Troncated catalog ( Comparat J., Delubac T., Jouvel S., et al.)"
VizieR,J/MNRAS/492/1919/tablea1,"The gamma-ray bursts ( Minaev P.Y., Pozanenko A.S.)"
VizieR,J/ApJ/658/778/sample,"IRS Low-Resolution spectroscopy observation  log and measured redshifts and types for our sample ( Yan L., Sajina A., Fadda D., Choi P., Armus L., Helou G., Teplitz H., Frayer D., Surace J.)"
VizieR,III/268/deep2all,"All observations (is a superset of deep2dr4) ( Matthews D.J., Newman J.A., Coil A.L., Cooper M.C., Gwyn S.D.J.)"
VizieR,VII/270/dr10qsup,"Supplementary list from DR10 ( Paris I., Petitjean P., Aubourg E., et al.)"
VizieR,J/A+A/642/A153/tablea1,"General properties of SAGAN-I (SGS) ( Dabhade P., Mahato M., Bagchi J., Saikia D.J., Combes F., Sankhyayan S., Roettgering H.J.A., Ho L.C., Gaikwad M., Raychaudhury S., Vaidya B., Guiderdoni B.)"
VizieR,J/AJ/132/231/table5,"*Hectospec-Spectroscopic Catalog ( Papovich C., Cool R., Eisenstein D., Le Floc'h E., Fan X., Kennicutt R.C.JR, Smith J.D.T., Rieke G.H., Vestergaard M.)"
VizieR,J/AJ/132/231/table4,"*SDSS-Spectroscopic Catalog ( Papovich C., Cool R., Eisenstein D., Le Floc'h E., Fan X., Kennicutt R.C.JR, Smith J.D.T., Rieke G.H., Vestergaard M.)"
VizieR,VII/270/dr10q,"Main DR10Q catalog ( Paris I., Petitjean P., Aubourg E., et al.)"
VizieR,J/ApJ/755/61/table3,"List of SN Ia events used in this paper and their associated host galaxy properties ( Smith M., Nichol R.C., Dilday B., Marriner J., Kessler R., Bassett B., Cinabro D., Frieman J., Garnavich P., Jha S.W., Lampeitl H., Sako M., Schneider D.P., Sollerman J.)"
VizieR,J/A+A/636/A97/vc2rxs,"ROSAT 2RXS table (VAC_SPIDERS_2RXS_DR16.fits) ( Comparat J., Merloni A., Dwelly T., Salvato M., Schwope A., Coffey D., Wolf J., Arcodia R., Liu T., Buchner J., Nandra K., Georgakakis A., Clerc N., Brusa M., Brownstein J.R., Schneider D.P., Pan K., Bizyaev D.)"
VizieR,V/149/stellar2,"A, F, G and K type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/153/astars4,"A type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,B/avo.rad/catalog,"MERLIN+VLA HFF/HDF(N) catalogue ( Muxlow T.W.B, Richards A.M.S, Garrington S.T., Wilkinson P.N. Anderson B.A., Richards E.A., Axon D.J., Partridge R.B., Kellermann K.I., Fomalont E.B. Muxlow T.W.B, et al. MNRAS (in press))"
VizieR,V/149/mstars2,"M type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/149/dr2,"LAMOST DR2 catalog (30/06/2016 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/153/dr4,"LAMOST DR4 catalog (09/08/2018 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/149/astars2,"A type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/153/stellar4,"A, F, G and K type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/153/mstars4,"M type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/164/stellar5,"A, F, G and K type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/164/mstars5,"M type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/164/dr5,"LAMOST DR5 catalog (04/07/2019 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/164/astars5,"A type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/156/dr7slrs,"LAMOST LRS A, F, G and K Star Catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/156/dr7mslrs,"LAMOST LRS M Star Catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/ApJS/201/31/emgal,"Combined table from original tables ( Ge J.-Q., Hu C., Wang J.-M., Bai J.-M., Zhang S.)"
VizieR,J/A+AS/96/389/table2,"Observed data of the IR-defined sample ( de Grijp M.H.K., Keel W.C., Miley G.K., Goudfrooij P., Lub J.)"
VizieR,J/MNRAS/478/5336/tablea1,"Serendipitous catalogue of nearby objects ( Xi C., Taylor J.E., Massey R.J., Rhodes J., Koekemoer A., Salvato M.)"
VizieR,J/ApJS/206/13/agu,"Active galaxies of uncertain type photometry (tables 5 and 10) ( Massaro F., D'Abrusco R., Paggi A., Masetti N., Giroletti M., Tosti G., Smith H.A., Funk S.)"
VizieR,J/ApJS/206/13/ugs,"Unidentified gamma-ray sources without gamma-ray analysis flag photometry (tables 3 and 8) ( Massaro F., D'Abrusco R., Paggi A., Masetti N., Giroletti M., Tosti G., Smith H.A., Funk S.)"
VizieR,J/ApJS/206/13/ugsw,"Unidentified gamma-ray sources with gamma-ray analysis flag photometry (tables 4 and 9) ( Massaro F., D'Abrusco R., Paggi A., Masetti N., Giroletti M., Tosti G., Smith H.A., Funk S.)"
VizieR,J/A+A/392/851/table3,"QSOs/Sey1s/NELGs from follow-up spectroscopy of VPM sources ( Meusinger H., Scholz R.-D., Irwin M., Lehmann H.)"
VizieR,J/ApJS/207/37/nepspec,"Optical redshifts catalog over NEP-Wide  Survey  and line flux measurements ( Shim H., Im M., Ko J., Jeon Y., Karouzos M., Kim S.J., Lee H.M., Papovich C., Willmer C., Weiner B.J.)"
VizieR,J/A+A/579/A34/table2,"*1WHSP sample of High Synchrotron Peaked blazars ( Arsioli B., Fraga B., Giommi P., Padovani P., Marrese P.M.)"
VizieR,J/ApJS/209/34/table7,"Characteristics of the 1FHL sources with AGN associations ( Ackermann M., Ajello M., Allafort A., et al.)"
VizieR,J/A+A/392/851/table4,"QSOs/Sey1s/NELGs from the NED ( Meusinger H., Scholz R.-D., Irwin M., Lehmann H.)"
VizieR,J/A+A/416/35/table3,AGN with radio detections ( Wadadekar Y.)
VizieR,J/A+A/416/35/table4,AGN not detected in the radio ( Wadadekar Y.)
VizieR,J/ApJS/215/27/table6,"H-HDF-N photometric catalog ( Yang G., Xue Y.Q., Luo B., Brandt W.N., Alexander D.M., Bauer F.E., Cui W., Kong X., Lehmer B.D., Wang J.-X., Wu X.-B., Yuan F., Yuan Y.-F., Zhou H.Y.)"
VizieR,J/A+A/636/A97/vcxmmsl2,"XMM Slew 2 table (VAC_SPIDERS_XMMSL2_DR16.fits) ( Comparat J., Merloni A., Dwelly T., Salvato M., Schwope A., Coffey D., Wolf J., Arcodia R., Liu T., Buchner J., Nandra K., Georgakakis A., Clerc N., Brusa M., Brownstein J.R., Schneider D.P., Pan K., Bizyaev D.)"
VizieR,J/ApJ/714/1305/table2,"Main derived properties used in this work ( Strazzullo V., Pannella M., Owen F.N., Bender R., Morrison G.E., Wang W.-H., Shupe D.L.)"
VizieR,V/156/dr7lrs,"LAMOST LRS General Catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,V/156/dr7aslrs,"LAMOST LRS A Star Catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/352/91/table2,"Optical and X-ray properties of the sample ( Georgantopoulos I., Georgakakis A., Akylas A., Stewart G.C., Giannakis O., Shanks T., Kitsionas S.)"
VizieR,J/AJ/155/181/table1,"Stellar parameters and chemical abundances for the SP_Ace-LAMOST DR1 catalog ( Boeche C., Smith M.C., Grebel E.K., Zhong J., Hou J.L., Chen L., Stello D.)"
VizieR,J/MNRAS/452/3304/table2,"Positions, photometric data and velocities for galaxies of AC114 ( Proust D., Yegorova I., Saviane I., Ivanov V.D., Bresolin F., Salzer J.J., Capelato H.V.)"
VizieR,V/146/dr1,"LAMOST DR1 catalog (31/03/2016 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/ApJS/217/5/redQSOc,"Spectroscopic results of  red QSO candidates observed with NOT ( Krogager J.-K., Geier S., Fynbo J.P.U., Venemans B.P., Ledoux C., Moller P., Noterdaeme P., Vestergaard M., Kangas T., Pursimo T., Saturni F.G., Smirnova O.)"
