TAP_service,table_name,objects,description
VizieR,V/164/stellar5,700623,"A, F, G and K type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/A+A/683/A112/lqac6,574033,"6th release of LQAC ( Souchay J., Secrest N., Sexton R., Barache C.)"
VizieR,II/377/master,533508,Main catalog (source indices and coordinates from various individual catalogs) ( Vaccari M.)
VizieR,J/ApJS/223/20/spec,351545,"Morphological catalog of SDSS objects with spectra ( Kuminski E., Shamir L.)"
VizieR,V/164/dr5,201216,"LAMOST DR5 catalog (04/07/2019 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/474/4151/wigglez,198867,"The WiggleZ catalogue ( Drinkwater M.J., Byrne Z.J., Blake C., et al.)"
VizieR,III/272/ravedr4,179217,"RAVE catalog, DR4 ( Kordopatis G., Gilmore G., Steinmetz M., et al.)"
VizieR,III/283/ravedr6,151907,"RAVE DR6 master file and classification and observation diagnostic data (ravedr6.dr6_sparv, ravedr6.dr6_classification and ravedr6.dr6_obsdata) ( Steinmetz M., Matijevic G., Enke H., et al.)"
VizieR,V/146/dr1,137765,"LAMOST DR1 catalog (31/03/2016 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/480/1022/table2,132003,"Source catalogue ( Yang G., Brandt W.N., Darvish B., Chen C.-T.J., Vito F., Alexander D.M., Bauer F.E., Trump J.R.)"
VizieR,J/MNRAS/513/439/gamadr4,98444,"SpecAll table of GAMA-DR4 spectrum catalog ( Driver S.P., Bellstedt S., Robotham A.S.G., et al.)"
VizieR,V/149/dr2,65112,"LAMOST DR2 catalog (30/06/2016 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/348/866/2dfsgpga,63709,"Galaxies used for group-finding in the SGP ( Eke V.R., Baugh C.M., Cole S., et al.)"
VizieR,J/A+A/683/A203/vipers,62318,"Spectroscopic measurements ( Pistis F., Pollo A., Figueira M., Vergani D., Hamed M., Malek K., Durkalec A., Donevski D., Salim S., Iovino A., Pearson W.J., Romano M., Scodeggio M.)"
VizieR,J/MNRAS/348/866/2dfngpga,42768,"Galaxies used for group-finding in the NGP ( Eke V.R., Baugh C.M., Cole S., et al.)"
